record_id,author_year,title,identifier,publication_status,status_checked,decision,full_text_reason
S01,Khan et al. 2022,Systematic Literature Review on Security Risks and its Practices in Secure Software Development,10.1109/ACCESS.2022.3140181,Published,2026-08-08,Include,Direct synthesis of software-security risks and practices across the SDLC
S02,Valdes-Rodriguez et al. 2023,Towards the Integration of Security Practices in Agile Software Development: A Systematic Mapping Review,10.3390/app13074578,Published,2026-08-08,Include,Maps secure-development practices and barriers in agile settings
S03,Tsai et al. 2025,Establishing Performance Baselines for Secure Software Development,10.1049/ise2/6139424,Published,2026-08-08,Include,Provides measurable proactive and reactive secure-development baselines
S04,Humayun et al. 2022,Security Threat and Vulnerability Assessment and Measurement in Secure Software Development,10.32604/cmc.2022.019289,Published,2026-08-08,Include,Addresses threat assessment and measurement in secure software development
S05,Basin et al. 2023,Is Modeling Access Control Worth It?,10.1145/3576915.3623196,Published,2026-08-08,Include,Direct empirical contribution to the access-control dimension
S06,Cleland-Huang et al. 2014,Software Traceability: Trends and Future Directions,10.1145/2593882.2593891,Published,2026-08-08,Include,Foundational synthesis for development traceability
S07,Othmane et al. 2014,Extending the Agile Development Process to Develop Acceptably Secure Software,10.1109/TDSC.2014.2298011,Published,2026-08-08,Include,Integrates security activities into an agile development process
S08,Sanchez-Gordon and Colomo-Palacios 2020,Security as Culture: A Systematic Literature Review of DevSecOps,10.1145/3387940.3392233,Published,2026-08-08,Include,Supports organizational and cultural explanation
S09,De Win et al. 2009,"On the Secure Software Development Process: CLASP, SDL and Touchpoints Compared",10.1016/j.infsof.2008.01.010,Published,2026-08-08,Include,Compares established secure-development processes
S10,Basin et al. 2006,Model Driven Security: From UML Models to Access Control Infrastructures,10.1145/1125808.1125810,Published,2026-08-08,Include,Links access policy models with technical enforcement
E01,Zhong 2023,A Survey of Prevent and Detect Access Control Vulnerabilities,arXiv:2304.10600,Preprint,2026-08-08,Exclude,Preprint without confirmed peer review at screening
E02,Chen et al. 2025,TRACE: Securing Smart Contract Repository Against Access Control Vulnerability,arXiv:2510.19254,Preprint,2026-08-08,Exclude,Preprint and smart-contract-specific intervention with limited transferability
E03,Odera et al. 2023,Security Risks in the Software Development Lifecycle: A Review,10.30574/wjaets.2023.8.2.0101,Published,2026-08-08,Exclude,Review method did not provide enough reproducible search and selection detail
E04,Otieno et al. 2023,Theory and Practice in Secure Software Development Lifecycle: A Comprehensive Survey,10.30574/wjarr.2023.18.3.0944,Published,2026-08-08,Exclude,Broad narrative coverage overlapped with included reviews and lacked a reproducible selection method
E05,Kolisnichenko et al. 2021,Software Security Risk Management in DevOps Methodology,10.20535/tacs.2664-29132021.1.251316,Published,2026-08-08,Exclude,Narrow illustrative comparison did not examine organizational maturity or the selected outcomes
E06,Mahomedov 2025,Information Security Challenges in an Enterprise-Grade Software Development Lifecycle,https://tacs.ipt.kpi.ua/article/view/338771,Published,2026-08-08,Exclude,Narrative review with insufficient reproducible search and selection detail
