synthetic_data,outcome,term,coefficient,cluster_robust_standard_error,ci_95_lower,ci_95_upper,p_value,eligible_participants,organization_count,r_squared,scope_note
True,access_control_effectiveness,const,0.982383506,0.2385223036,0.4183678823,1.54639913,0.00446727671,64,8,0.6986872531,Synthetic methodological demonstration only; not a research finding.
True,access_control_effectiveness,risk_management_maturity,0.636871145,0.0405963798,0.5408759608,0.7328663292,1.034953996e-06,64,8,0.6986872531,Synthetic methodological demonstration only; not a research finding.
True,access_control_effectiveness,experience_ordinal,0.0412644565,0.05163704637,-0.08083775563,0.1633666686,0.4504776512,64,8,0.6986872531,Synthetic methodological demonstration only; not a research finding.
True,access_control_effectiveness,company_size_ordinal,0.0421904972,0.03116452616,-0.03150189716,0.1158828916,0.2178810814,64,8,0.6986872531,Synthetic methodological demonstration only; not a research finding.
True,source_code_protection,const,1.060280064,0.2236556794,0.5314184206,1.589141708,0.00210620759,64,8,0.5615050236,Synthetic methodological demonstration only; not a research finding.
True,source_code_protection,risk_management_maturity,0.5507267235,0.0318317414,0.4754566158,0.6259968312,5.296687853e-07,64,8,0.5615050236,Synthetic methodological demonstration only; not a research finding.
True,source_code_protection,experience_ordinal,0.0008957534235,0.02913182745,-0.06799007226,0.06978157911,0.9763286173,64,8,0.5615050236,Synthetic methodological demonstration only; not a research finding.
True,source_code_protection,company_size_ordinal,0.03447386538,0.04226062866,-0.06545664204,0.1344043728,0.4415158636,64,8,0.5615050236,Synthetic methodological demonstration only; not a research finding.
True,development_traceability,const,0.9391548979,0.08050283574,0.7487959402,1.129513856,7.682326245e-06,64,8,0.7736932993,Synthetic methodological demonstration only; not a research finding.
True,development_traceability,risk_management_maturity,0.7508144135,0.03100120579,0.6775082104,0.8241206165,5.207940292e-08,64,8,0.7736932993,Synthetic methodological demonstration only; not a research finding.
True,development_traceability,experience_ordinal,-0.02812962347,0.04833435776,-0.142422218,0.08616297109,0.5788331022,64,8,0.7736932993,Synthetic methodological demonstration only; not a research finding.
True,development_traceability,company_size_ordinal,-0.08399327854,0.02607079542,-0.1456409137,-0.02234564343,0.01461813826,64,8,0.7736932993,Synthetic methodological demonstration only; not a research finding.
