item,answered_count,missing_count,missing_percent
RM01,64,0,0.00
RM02,64,0,0.00
RM03,64,0,0.00
RM04,64,0,0.00
RM05,64,0,0.00
RM06,64,0,0.00
RM07,64,0,0.00
RM08,64,0,0.00
RM09,64,0,0.00
RM10,64,0,0.00
RM11,64,0,0.00
RM12,64,0,0.00
RM13,64,0,0.00
RM14,64,0,0.00
AC01,64,0,0.00
AC02,64,0,0.00
AC03,64,0,0.00
AC04,64,0,0.00
AC05,64,0,0.00
AC06,64,0,0.00
SC01,64,0,0.00
SC02,64,0,0.00
SC03,64,0,0.00
SC04,64,0,0.00
SC05,64,0,0.00
SC06,64,0,0.00
TR01,64,0,0.00
TR02,64,0,0.00
TR03,64,0,0.00
TR04,64,0,0.00
TR05,64,0,0.00
TR06,64,0,0.00
