participant_code,organization_code,role_group,experience_group,company_size_group,delivery_approach,synthetic_record,RM01,RM02,RM03,RM04,RM05,RM06,RM07,RM08,RM09,RM10,RM11,RM12,RM13,RM14,AC01,AC02,AC03,AC04,AC05,AC06,SC01,SC02,SC03,SC04,SC05,SC06,TR01,TR02,TR03,TR04,TR05,TR06
SYN_ANALYSIS_P001,SYN_ANALYSIS_ORG_01,Software development,Less than 2 years,1 to 49,DevOps or continuous delivery,true,2,2,1,1,1,2,1,1,1,3,3,2,1,2,3,2,2,3,2,3,2,4,2,2,1,3,2,4,2,1,3,2
SYN_ANALYSIS_P002,SYN_ANALYSIS_ORG_01,Technical leadership,2 to 5 years,1 to 49,Hybrid,true,1,2,3,3,2,2,2,4,1,1,4,2,3,2,3,1,2,3,1,4,3,3,3,4,2,3,4,2,2,2,3,3
SYN_ANALYSIS_P003,SYN_ANALYSIS_ORG_01,DevOps or platform,6 to 10 years,1 to 49,Agile,true,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,2,3,3,3,2,1,3,2,1,3,3,1,2,2,2,3,1
SYN_ANALYSIS_P004,SYN_ANALYSIS_ORG_01,Quality or testing,More than 10 years,1 to 49,DevOps or continuous delivery,true,1,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,2,3,2,1,2,2,2,1,2,3,2,2,1,1,1,1
SYN_ANALYSIS_P005,SYN_ANALYSIS_ORG_01,Information security,Less than 2 years,1 to 49,Hybrid,true,1,1,2,2,1,2,2,1,1,1,2,1,2,1,2,4,1,2,3,3,2,2,2,2,2,1,3,3,2,2,2,2
SYN_ANALYSIS_P006,SYN_ANALYSIS_ORG_01,Software development,2 to 5 years,1 to 49,Agile,true,4,3,1,2,3,3,2,2,3,3,2,2,3,4,4,2,4,3,1,3,3,3,4,4,2,2,3,2,2,2,3,3
SYN_ANALYSIS_P007,SYN_ANALYSIS_ORG_01,Technical leadership,6 to 10 years,1 to 49,DevOps or continuous delivery,true,3,3,1,2,1,1,1,2,2,3,1,1,2,2,2,1,3,3,1,4,1,3,1,2,2,2,3,1,1,2,1,3
SYN_ANALYSIS_P008,SYN_ANALYSIS_ORG_01,DevOps or platform,More than 10 years,1 to 49,Hybrid,true,3,2,1,3,2,2,2,3,2,2,2,1,1,1,2,3,3,3,1,2,2,1,2,1,3,3,2,2,1,3,2,2
SYN_ANALYSIS_P009,SYN_ANALYSIS_ORG_02,Quality or testing,Less than 2 years,50 to 249,Hybrid,true,3,2,4,2,3,2,2,3,3,2,2,2,3,2,4,4,4,3,2,2,2,3,3,2,2,2,2,3,2,2,3,2
SYN_ANALYSIS_P010,SYN_ANALYSIS_ORG_02,Information security,2 to 5 years,50 to 249,Agile,true,3,2,4,3,2,3,3,3,2,2,2,2,3,4,1,4,4,2,3,3,2,2,3,3,3,3,3,2,3,4,3,2
SYN_ANALYSIS_P011,SYN_ANALYSIS_ORG_02,Software development,6 to 10 years,50 to 249,DevOps or continuous delivery,true,1,2,1,2,2,2,2,1,2,2,3,2,3,2,2,3,3,3,3,1,3,1,1,2,3,3,2,2,3,1,1,4
