item,answered_count,missing_count,missing_percent
RM01,21,1,4.55
RM02,22,0,0.00
RM03,22,0,0.00
RM04,22,0,0.00
RM05,22,0,0.00
RM06,22,0,0.00
RM07,22,0,0.00
RM08,22,0,0.00
RM09,22,0,0.00
RM10,22,0,0.00
RM11,22,0,0.00
RM12,22,0,0.00
RM13,22,0,0.00
RM14,22,0,0.00
AC01,21,1,4.55
AC02,21,1,4.55
AC03,21,1,4.55
AC04,22,0,0.00
AC05,22,0,0.00
AC06,22,0,0.00
SC01,21,1,4.55
SC02,21,1,4.55
SC03,21,1,4.55
SC04,22,0,0.00
SC05,22,0,0.00
SC06,22,0,0.00
TR01,21,1,4.55
TR02,21,1,4.55
TR03,21,1,4.55
TR04,22,0,0.00
TR05,22,0,0.00
TR06,22,0,0.00
