participant_code,organization_code,role_group,experience_group,company_size_group,delivery_approach,synthetic_record,governance_accountability_answered,governance_accountability_score,risk_identification_answered,risk_identification_score,assessment_prioritization_answered,assessment_prioritization_score,risk_treatment_answered,risk_treatment_score,monitoring_review_answered,monitoring_review_score,training_risk_culture_answered,training_risk_culture_score,learning_continuous_improvement_answered,learning_continuous_improvement_score,access_control_effectiveness_answered,access_control_effectiveness_score,source_code_protection_answered,source_code_protection_score,development_traceability_answered,development_traceability_score,risk_dimensions_answered,risk_management_maturity,access_control_effectiveness,source_code_protection,development_traceability
SYN_P001,SYN_ORG_01,Software development,2 to 5 years,50 to 249,DevOps or continuous delivery,true,2,1.5000,2,2.5000,2,1.5000,2,2.0000,2,2.0000,2,1.5000,2,2.5000,3,,6,1.6667,6,2.0000,7,1.9286,,1.6667,2.0000
SYN_P002,SYN_ORG_01,Technical leadership,6 to 10 years,50 to 249,Hybrid,true,2,3.0000,2,2.5000,2,3.0000,2,2.0000,2,1.5000,2,2.0000,2,2.5000,6,3.0000,6,2.6667,6,2.5000,7,2.3571,3.0000,2.6667,2.5000
SYN_P003,SYN_ORG_01,DevOps or platform,More than 10 years,50 to 249,Agile,true,2,2.0000,2,2.0000,2,2.0000,2,2.0000,2,3.0000,2,2.0000,2,3.5000,6,2.3333,6,2.0000,6,2.1667,7,2.3571,2.3333,2.0000,2.1667
SYN_P004,SYN_ORG_01,Information security,2 to 5 years,50 to 249,DevOps or continuous delivery,true,2,1.5000,2,2.5000,2,2.5000,2,2.0000,2,2.0000,2,2.5000,2,2.0000,6,2.3333,6,2.3333,6,2.1667,7,2.1429,2.3333,2.3333,2.1667
SYN_P005,SYN_ORG_01,Quality or testing,6 to 10 years,50 to 249,Hybrid,true,2,2.5000,2,3.0000,2,2.5000,2,3.5000,2,3.0000,2,3.0000,2,4.0000,6,2.6667,6,2.8333,6,2.6667,7,3.0714,2.6667,2.8333,2.6667
SYN_P006,SYN_ORG_01,Software development,More than 10 years,50 to 249,Agile,true,2,2.5000,2,2.5000,2,3.0000,2,2.5000,2,3.0000,2,2.5000,2,2.5000,6,3.0000,6,2.8333,6,2.8333,7,2.6429,3.0000,2.8333,2.8333
SYN_P007,SYN_ORG_02,Technical leadership,2 to 5 years,250 or more,Hybrid,true,2,3.0000,2,3.0000,2,3.5000,2,3.5000,2,3.0000,2,3.5000,2,3.0000,6,3.1667,3,,6,3.0000,7,3.2143,3.1667,,3.0000
SYN_P008,SYN_ORG_02,DevOps or platform,6 to 10 years,250 or more,Agile,true,2,2.5000,2,3.0000,2,2.0000,2,3.0000,2,3.0000,2,3.0000,2,2.0000,6,2.5000,6,1.8333,6,2.8333,7,2.6429,2.5000,1.8333,2.8333
SYN_P009,SYN_ORG_02,Information security,More than 10 years,250 or more,DevOps or continuous delivery,true,2,3.0000,2,3.0000,2,2.5000,2,2.5000,2,3.0000,2,3.5000,2,3.0000,6,3.5000,6,3.1667,6,3.3333,7,2.9286,3.5000,3.1667,3.3333
SYN_P010,SYN_ORG_02,Quality or testing,2 to 5 years,250 or more,Hybrid,true,2,3.0000,2,3.0000,2,3.5000,2,3.0000,2,2.5000,2,3.0000,2,3.0000,6,3.1667,6,2.0000,6,3.0000,7,3.0000,3.1667,2.0000,3.0000
SYN_P011,SYN_ORG_02,Software development,6 to 10 years,250 or more,Agile,true,2,3.5000,2,3.0000,2,3.0000,2,3.5000,2,3.0000,2,4.0000,2,3.5000,6,2.6667,6,2.8333,6,3.1667,7,3.3571,2.6667,2.8333,3.1667
SYN_P012,SYN_ORG_02,Technical leadership,More than 10 years,250 or more,DevOps or continuous delivery,true,2,3.5000,2,4.0000,2,3.5000,2,4.0000,2,3.5000,2,3.0000,2,3.0000,6,2.6667,6,3.3333,6,3.3333,7,3.5000,2.6667,3.3333,3.3333
SYN_P013,SYN_ORG_03,DevOps or platform,2 to 5 years,1 to 49,Agile,true,2,2.5000,2,3.0000,2,2.0000,2,2.5000,2,3.5000,2,3.5000,2,2.5000,6,2.6667,6,2.8333,3,,7,2.7857,2.6667,2.8333,
SYN_P014,SYN_ORG_03,Information security,6 to 10 years,1 to 49,DevOps or continuous delivery,true,2,4.5000,2,4.5000,2,4.5000,2,3.5000,2,4.5000,2,3.5000,2,4.0000,6,4.3333,6,3.8333,6,4.0000,7,4.1429,4.3333,3.8333,4.0000
