seed,dimension,peru_repository_mean,benchmark_repository_mean,difference_peru_minus_benchmark,bootstrap_ci_95_lower,bootstrap_ci_95_upper,peru_repository_count,peru_organization_cluster_count,benchmark_repository_count,bootstrap_iterations,analysis_unit,scope_note
13,risk_governance_observed,3.541667,7.239583,-3.697917,-6.330126,-1.269048,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
13,access_control_observed,0.902778,2.638889,-1.736111,-2.954667,-0.516294,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
13,source_code_protection_observed,1.000000,2.856342,-1.856342,-3.205504,-0.504397,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
13,traceability_observed,3.196829,6.077083,-2.880254,-4.707416,-1.336589,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
21,risk_governance_observed,3.541667,7.239583,-3.697917,-6.269633,-1.312460,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
21,access_control_observed,0.902778,2.638889,-1.736111,-2.986111,-0.510148,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
21,source_code_protection_observed,1.000000,2.856342,-1.856342,-3.203389,-0.532966,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
21,traceability_observed,3.196829,6.077083,-2.880254,-4.645974,-1.439079,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
42,risk_governance_observed,3.541667,7.239583,-3.697917,-6.218525,-1.316853,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
42,access_control_observed,0.902778,2.638889,-1.736111,-2.986111,-0.476425,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
42,source_code_protection_observed,1.000000,2.856342,-1.856342,-3.213644,-0.525141,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
42,traceability_observed,3.196829,6.077083,-2.880254,-4.686846,-1.342862,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
87,risk_governance_observed,3.541667,7.239583,-3.697917,-6.252313,-1.222910,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
87,access_control_observed,0.902778,2.638889,-1.736111,-2.986111,-0.555556,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
87,source_code_protection_observed,1.000000,2.856342,-1.856342,-3.164629,-0.442566,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
87,traceability_observed,3.196829,6.077083,-2.880254,-4.701857,-1.385959,24,9,24,2000,repository,"Public repository benchmark; descriptive evidence only, not a causal or company-level estimate."
