dimension,omitted_owner_alias,full_point_difference,leave_one_owner_out_difference,absolute_shift,relative_shift,sign_flip,remaining_owner_count
risk_governance_observed,ORG01,-3.697917,-3.603220,0.094697,0.025608,False,8
risk_governance_observed,ORG02,-3.697917,-3.191964,0.505952,0.136821,False,8
risk_governance_observed,ORG03,-3.697917,-3.543931,0.153986,0.041641,False,8
risk_governance_observed,ORG04,-3.697917,-3.716856,0.018939,0.005122,False,8
risk_governance_observed,ORG05,-3.697917,-3.489583,0.208333,0.056338,False,8
risk_governance_observed,ORG06,-3.697917,-3.277083,0.420833,0.113803,False,8
risk_governance_observed,ORG07,-3.697917,-4.364583,0.666667,0.180282,False,8
risk_governance_observed,ORG08,-3.697917,-4.702083,1.004167,0.271549,False,8
risk_governance_observed,ORG09,-3.697917,-3.489583,0.208333,0.056338,False,8
access_control_observed,ORG01,-1.736111,-1.654041,0.082071,0.047273,False,8
access_control_observed,ORG02,-1.736111,-1.607143,0.128968,0.074286,False,8
access_control_observed,ORG03,-1.736111,-1.696860,0.039251,0.022609,False,8
access_control_observed,ORG04,-1.736111,-1.654041,0.082071,0.047273,False,8
access_control_observed,ORG05,-1.736111,-1.654041,0.082071,0.047273,False,8
access_control_observed,ORG06,-1.736111,-1.555556,0.180556,0.104000,False,8
access_control_observed,ORG07,-1.736111,-1.972222,0.236111,0.136000,False,8
access_control_observed,ORG08,-1.736111,-2.222222,0.486111,0.280000,False,8
access_control_observed,ORG09,-1.736111,-1.654041,0.082071,0.047273,False,8
source_code_protection_observed,ORG01,-1.856342,-1.765433,0.090909,0.048972,False,8
source_code_protection_observed,ORG02,-1.856342,-1.713485,0.142857,0.076956,False,8
source_code_protection_observed,ORG03,-1.856342,-1.812864,0.043478,0.023421,False,8
source_code_protection_observed,ORG04,-1.856342,-1.765433,0.090909,0.048972,False,8
source_code_protection_observed,ORG05,-1.856342,-1.765433,0.090909,0.048972,False,8
source_code_protection_observed,ORG06,-1.856342,-1.656342,0.200000,0.107739,False,8
source_code_protection_observed,ORG07,-1.856342,-2.056342,0.200000,0.107739,False,8
source_code_protection_observed,ORG08,-1.856342,-2.456342,0.600000,0.323216,False,8
source_code_protection_observed,ORG09,-1.856342,-1.765433,0.090909,0.048972,False,8
traceability_observed,ORG01,-2.880254,-2.705543,0.174712,0.060658,False,8
traceability_observed,ORG02,-2.880254,-2.564127,0.316128,0.109757,False,8
traceability_observed,ORG03,-2.880254,-2.840154,0.040101,0.013923,False,8
traceability_observed,ORG04,-2.880254,-2.669378,0.210876,0.073214,False,8
traceability_observed,ORG05,-2.880254,-2.623066,0.257189,0.089294,False,8
traceability_observed,ORG06,-2.880254,-3.014016,0.133762,0.046441,False,8
traceability_observed,ORG07,-2.880254,-3.475889,0.595634,0.206799,False,8
traceability_observed,ORG08,-2.880254,-3.380333,0.500079,0.173623,False,8
traceability_observed,ORG09,-2.880254,-2.749009,0.131246,0.045567,False,8
